Title,Type,Genres,Director,Year,Rating,Plot
Gattaca,Movie,"Science Fiction, Drama",Andrew Niccol,1997,4,Vincent is an all-too-human man who dares to defy a system obsessed with genetic perfection. He is an “In-Valid” who assumes the identity of a member of the genetic elite to pursue his goal of traveling into space with the Gattaca Aerospace Corporation.
Backrooms,Movie,"Mystery, Science Fiction, Horror",Kane Parsons,2026,2.5,A strange doorway appears in the basement of a furniture showroom.
The Mandalorian and Grogu,Movie,"Science Fiction, Action, Adventure",Jon Favreau,2026,3,"The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu."
Star Wars,Movie,"Adventure, Science Fiction, Action",George Lucas,1977,3.5,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.
Colony,Movie,"Action, Horror, Thriller",Yeon Sang-ho,2026,2.5,"Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations."
Hereditary,Movie,"Thriller, Horror, Mystery",Ari Aster,2018,3,"Following the death of the Leigh family matriarch, Annie and her children uncover disturbing secrets about their heritage. Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness."
Project Hail Mary,Movie,"Comedy, Science Fiction, Adventure","Phil Lord, Christopher Miller",2026,3.5,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone."
Eternal Sunshine of the Spotless Mind,Movie,"Science Fiction, Romance, Drama",Michel Gondry,2004,4,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake."
Mad Max: Fury Road,Movie,"Science Fiction, Adventure, Action",George Miller,2015,3.5,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order."
Harry Potter and the Philosopher’s Stone,Movie,"Adventure, Fantasy",Chris Columbus,2001,5,"Harry Potter has lived under the stairs at his aunt and uncle’s house his whole life. But on his 11th birthday, he learns he’s a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school’s kindly headmaster, Harry uncovers the truth about his parents’ deaths—and about the villain who’s to blame."
Legally Blonde,Movie,Comedy,Robert Luketic,2001,3,"Fashionable sorority queen Elle Woods has it all, but, she wants nothing more than to be Mrs. Warner Huntington III. But he dumps her before heading to Harvard Law School. Elle rallies all of her resources and gets into Harvard, determined to win him back. While there, she figures out that there is more to herself than just good looks."
"Crazy, Stupid, Love.",Movie,"Comedy, Romance, Drama","Glenn Ficarra, John Requa",2011,3.5,"Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal’s seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies."
Decision to Leave,Movie,"Mystery, Thriller, Romance",Park Chan-wook,2022,4,"From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man’s wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire."
Constantine,Movie,"Action, Horror, Fantasy",Francis Lawrence,2005,4,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles."
One Million Yen Girl,Movie,Drama,Yuki Tanada,2008,3.5,"A 21-year-old girl is released from prison, only to deal with the neighborhood gossip about her and family conflicts. She decides to save one million yen, move to where no one knows her and keep repeating the process."
Mamma Mia!,Movie,"Comedy, Romance",Phyllida Lloyd,2008,4.5,A spirited young bride-to-be living with her single mother on a small Greek island secretly invites three of her mother’s ex-boyfriends in hope of finding her biological father to walk her down the aisle.
After Yang,Movie,"Drama, Science Fiction",Kogonada,2021,4,"When his young daughter’s beloved companion — an android named Yang — malfunctions, Jake searches for a way to repair him. In the process, Jake discovers the life that has been passing in front of him, reconnecting with his wife and daughter across a distance he didn’t know was there."
John Wick,Movie,"Action, Thriller",Chad Stahelski,2014,4.5,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.
Arrival,Movie,"Mystery, Science Fiction, Drama",Denis Villeneuve,2016,5,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat."
Chungking Express,Movie,"Comedy, Drama, Romance",Wong Kar-Wai,1994,2.5,"Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant."
